ファイル名,カセットNo,薬品コード,薬品名称,現在量,警告量,前回登録日,カセットNo_OK,薬品コード_OK,現在量_OK,警告量_OK,前回登録日_OK,前回登録日_dt
information_1_2.jpg,1-131,002392,ダプリル塩酸塩錠5mg,7,0,2025/10/29,True,True,True,True,True,2025-10-29
information_1_2.jpg,1-133,002425,プランルカストカプセル112.5mg,39,0,2025/06/11,True,True,True,True,True,2025-06-11
information_1_2.jpg,1-134,003103,プレガバリンOD錠75mg,113,20,2025/10/02,True,True,True,True,True,2025-10-02
information_1_2.jpg,1-135,003102,プレガバリンOD錠25mg,3,20,2025/10/24,True,True,True,True,True,2025-10-24
information_1_2.jpg,1-136,002785,ネキシウム酸カプセル250mg,161,0,2025/10/02,True,True,True,True,True,2025-10-02
information_1_2.jpg,1-144,000985,デノケンR錠 200mg,21,30,2025/10/29,True,True,True,True,True,2025-10-29
information_1_2.jpg,1-147,001071,ランジオ錠 5mg,30,20,2025/10/02,True,True,True,True,True,2025-10-02
information_1_2.jpg,1-148,003168,ロサルタンK錠50mg,42,20,2025/09/02,True,True,True,True,True,2025-09-02
information_1_2.jpg,1-149,001146,バソビル錠 100mg,483,0,2025/10/31,True,True,True,True,True,2025-10-31
information_1_2.jpg,1-151,002330,ラブスペリン錠10mg,95,20,2025/10/30,True,True,True,True,True,2025-10-30
information_1_2.jpg,1-154,001333,ラスタシンNa錠10mg,86,10,2025/10/29,True,True,True,True,True,2025-10-29
information_1_2.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_1_3.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_1_3.jpg,1-156,003537,クロルメチアジド2mg[NIG],32,0,2025/06/17,True,True,True,True,True,2025-06-17
information_1_3.jpg,1-157,001367,プロピレングリコール5mg[タクタ],313,100,2025/10/22,True,True,True,True,True,2025-10-22
information_1_3.jpg,1-158,002265,降炭酸カルシウム錠500mg[三],65,20,2025/07/01,True,True,True,True,True,2025-07-01
information_1_3.jpg,1-161,002402,メプロホール酸塩酸錠15mg[トーワ],10,0,2025/10/31,True,True,True,True,True,2025-10-31
information_1_3.jpg,1-162,002506,ラビプロ酸エチル錠1mg[トーワ],4,0,2025/08/05,True,True,True,True,True,2025-08-05
information_1_3.jpg,1-163,001644,コンバーレ錠500μg,360,20,2025/10/28,True,True,True,True,True,2025-10-28
information_1_3.jpg,1-164,001637,メシル酸錠15mg,28,20,2025/10/08,True,True,True,True,True,2025-10-08
information_1_3.jpg,1-165,002819,タヒスチンメシル酸塩錠6mg[トーワ],20,20,2025/10/04,True,True,True,True,True,2025-10-04
information_1_3.jpg,1-166,003333,ニジ=OD錠5mg,256,20,2025/10/06,True,True,True,True,True,2025-10-06
information_1_3.jpg,1-167,001276,ファチジンD錠10mg[EMEC],2,20,2025/10/21,True,True,True,True,True,2025-10-21
information_1_3.jpg,1-168,001277,ファチジンD錠20mg[EMEC],5,20,2025/10/02,True,True,True,True,True,2025-10-02
information_1_3.jpg,1-169,002400,ラプレジンOD錠75mg[サワイ],180,0,2025/10/02,True,True,True,True,True,2025-10-02
information_1_3.jpg,1-170,002500,ジルチジン錠25mg,5,0,2025/10/24,True,True,True,True,True,2025-10-24
information_1_3.jpg,1-171,001810,レボトリオックス錠8mg,38,0,2025/02/26,True,True,True,True,True,2025-02-26
information_1_3.jpg,1-173,001780,不明,24,0,2025/02/26,True,True,True,True,True,2025-02-26
information_1_3.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_1_4.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_1_4.jpg,1-178,001751,リホドリル錠 0.5mg,495,20,2025/10/29,True,True,True,True,True,2025-10-29
information_1_4.jpg,1-179,001784,レキサルテン錠 5mg,4,0,2024/06/19,True,True,True,True,True,2024-06-19
information_1_4.jpg,1-180,002263,リマプロストアルファデクス錠 5μg,148,0,2025/10/09,True,True,True,True,True,2025-10-09
information_1_4.jpg,1-181,003144,レミニド錠 100mg「オーザカ」,236,20,2025/09/01,True,True,True,True,True,2025-09-01
information_1_4.jpg,1-182,001830,ロキソプロフェンNa錠60mg「トーワ」,223,20,2025/09/01,True,True,True,True,True,2025-09-01
information_1_4.jpg,1-184,001850,ロラタジン錠 0.5mg「サワイ」,15,20,2025/10/11,True,True,True,True,True,2025-10-11
information_1_4.jpg,1-185,003145,アトルバスタチン錠 10mg「NP」,88,20,2025/10/02,True,True,True,True,True,2025-10-02
information_1_4.jpg,1-186,001124,ノイロトピン錠 4単位,72,20,2025/10/02,True,True,True,True,True,2025-10-02
information_1_4.jpg,1-187,002580,カルバマゼピン錠 2.5mg「サワイ」,28,20,2025/10/30,True,True,True,True,True,2025-10-30
information_1_4.jpg,1-189,000311,エプラジラム錠 0.5mg,22,0,2025/10/29,True,True,True,True,True,2025-10-29
information_1_4.jpg,1-191,000477,カルマゼピン錠 100mg「アメ」,402,0,2025/06/02,True,True,True,True,True,2025-06-02
information_1_4.jpg,1-194,001368,不明,263,30,不明,True,True,True,True,True,
information_1_4.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_2_1.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_2_1.jpg,1-007,002256,フェジピンCR錠 20mg「トーワ」,21,20,2025/10/29,True,True,True,True,True,2025-10-29
information_2_1.jpg,1-010,002381,ベニジピン塩酸塩錠4mg「サワイ」,12,20,2025/10/29,True,True,True,True,True,2025-10-29
information_2_1.jpg,1-011,000597,コントミン糖衣錠,3,20,2025/10/08,True,True,True,True,True,2025-10-08
information_2_1.jpg,1-012,000669,ジゴシン錠,42,20,2025/09/02,True,True,True,True,True,2025-09-02
information_2_1.jpg,1-013,003029,セレコキシブ錠 100mg「ニプロ」,46,30,2025/10/04,True,True,True,True,True,2025-10-04
information_2_1.jpg,1-014,003056,ハロペリドール錠 3mg「アマル」,38,20,2025/06/11,True,True,True,True,True,2025-06-11
information_2_1.jpg,1-015,002432,クチアピン錠 100mg「アマル」,148,20,2025/10/02,True,True,True,True,True,2025-10-02
information_2_1.jpg,1-016,000920,チラーヂンS錠 50μg,24,30,2025/10/02,True,True,True,True,True,2025-10-02
information_2_1.jpg,1-017,000326,エビリファイ錠,12,0,2025/08/19,True,True,True,True,True,2025-08-19
information_2_1.jpg,1-018,002440,ベラプロストNa錠 20μg「NIG」,55,0,2025/05/01,True,True,True,True,True,2025-05-01
information_2_1.jpg,1-023,002258,ニフェジピンCR錠 40mg「トーワ」,14,0,2025/10/29,True,True,True,True,True,2025-10-29
information_2_1.jpg,1-024,002458,トラバスタト塩酸塩錠 50mg「アマル」,26,0,2025/09/02,True,True,True,True,True,2025-09-02
information_2_1.jpg,1-025,000490,カロナール錠500mg,45,0,2025/10/29,True,True,True,True,True,2025-10-29
information_2_1.jpg,1-028,003207,エルデカルトロルカプセル0.5μg「サワイ」,21,0,2025/10/29,True,True,True,True,True,2025-10-29
information_2_1.jpg,1-030,003423,スペクトラムラム錠,49,0,2025/09/02,True,True,True,True,True,2025-09-02
information_2_1.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_2_2.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_2_2.jpg,1-001,000113,アムロジピンOD錠 5mg「トーワ」,103,200,2025/10/17,True,True,True,True,True,2025-10-17
information_2_2.jpg,1-002,002465,リスペリドンOD錠 1mg「トーワ」,151,0,2025/09/01,True,True,True,True,True,2025-09-01
information_2_2.jpg,1-003,000112,アムロジピンOD錠 2.5mg「トーワ」,42,20,2025/10/31,True,True,True,True,True,2025-10-31
information_2_2.jpg,1-004,002431,クエチアピン錠 25mg「アメル」,210,20,2025/10/09,True,True,True,True,True,2025-10-09
information_2_2.jpg,1-005,003087,(糖)グリメピリド錠 0.5mg「NP」,36,0,2025/10/08,True,True,True,True,True,2025-10-08
information_2_2.jpg,1-006,003269,ミルタザピン錠 15mg「明治」,319,20,2025/10/02,True,True,True,True,True,2025-10-02
information_2_2.jpg,1-007,002433,クエチアピン錠 200mg「アメル」,35,20,2025/10/27,True,True,True,True,True,2025-10-27
information_2_2.jpg,1-008,002567,アルファカルシドール錠 0.25μg「アメル」,21,20,2025/10/31,True,True,True,True,True,2025-10-31
information_2_2.jpg,1-009,002841,オルケディア錠 1mg,,100,0,True,True,True,True,True,
information_2_2.jpg,1-010,002575,ビムラミン錠 100mg,11,20,2025/10/02,True,True,True,True,True,2025-10-02
information_2_2.jpg,1-011,001649,(糖)メトグルコ錠 250mg,380,150,2025/09/30,True,True,True,True,True,2025-09-30
information_2_2.jpg,1-012,003035,ガラクタミノD錠 4mg「アメル」,12,0,2025/10/27,True,True,True,True,True,2025-10-27
information_2_2.jpg,1-013,003346,炭酸リチウム錠 200mg「大正」,2,20,2025/10/29,True,True,True,True,True,2025-10-29
information_2_2.jpg,1-014,002467,リスペリドンOD錠 2mg「トーワ」,17,20,2025/10/10,True,True,True,True,True,2025-10-10
information_2_2.jpg,1-015,002913,トロダンOD錠 4mg「ケミファ」,227,0,2025/10/23,True,True,True,True,True,2025-10-23
information_2_2.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_2_3.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_2_3.jpg,1-067,002626,オランザピンOD錠10mg「トーワ」,62,10,2025/09/01,True,True,True,True,True,2025-09-01
information_2_3.jpg,1-068,002624,オランザピンOD錠5mg「トーワ」,183,10,2025/10/02,True,True,True,True,True,2025-10-02
information_2_3.jpg,1-070,000124,アリミンF糖衣錠25mg,40,0,2025/10/29,True,True,True,True,True,2025-10-29
information_2_3.jpg,1-075,003383,アジサイタン錠20mg「ニプロ」,4,20,2025/10/02,True,True,True,True,True,2025-10-02
information_2_3.jpg,1-077,002379,ドキサゾシン錠1mg「テバ」,36,30,2025/10/02,True,True,True,True,True,2025-10-02
information_2_3.jpg,1-078,002389,アゾセミド錠30mg「JG」,53,0,2025/10/02,True,True,True,True,True,2025-10-02
information_2_3.jpg,1-079,002423,エピ・ナスティン塩酸塩錠20mg「トーワ」,24,0,2025/10/22,True,True,True,True,True,2025-10-22
information_2_3.jpg,1-082,000336,エフランチルカプセル15mg,34,0,2025/10/31,True,True,True,True,True,2025-10-31
information_2_3.jpg,1-084,001310,フォリアミン錠5mg,14,0,2025/10/06,True,True,True,True,True,2025-10-06
information_2_3.jpg,1-085,002689,クロピドグレル錠75mg「トーワ」,76,30,2025/10/02,True,True,True,True,True,2025-10-02
information_2_3.jpg,1-086,002702,シルビジ ピン錠10mg「サワイ」,9,0,2025/10/17,True,True,True,True,True,2025-10-17
information_2_3.jpg,1-087,000332,エイエント錠3.75mg,29,0,2025/10/30,True,True,True,True,True,2025-10-30
information_2_3.jpg,1-088,000342,エリキューズ錠2.5mg,147,20,2025/10/02,True,True,True,True,True,2025-10-02
information_2_3.jpg,1-089,000279,ケシ酸第一鉄Na錠50mg「サワイ」,89,20,2025/10/09,True,True,True,True,True,2025-10-09
information_2_3.jpg,1-090,000519,(膀胱)ラクティブ錠50mg,118,20,2025/10/02,True,True,True,True,True,2025-10-02
information_2_3.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_2_4.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_2_4.jpg,1-091,002688,クロピドグレル錠 25mg「トーワ」,58,0,2025/09/02,True,True,True,True,True,2025-09-02
information_2_4.jpg,1-092,003084,ダムスシン塩酸塩OD錠0.2mg「トーワ」,36,0,2025/10/31,True,True,True,True,True,2025-10-31
information_2_4.jpg,1-093,002171,タケキャブ錠 20mg,30,0,2025/10/23,True,True,True,True,True,2025-10-23
information_2_4.jpg,1-094,002730,リシナトOD錠 30mg,53,0,2025/09/01,True,True,True,True,True,2025-09-01
information_2_4.jpg,1-095,002510,ビソプロロールファル酸錠 0.625mg,136,20,2025/09/17,True,True,True,True,True,2025-09-17
information_2_4.jpg,1-096,002512,ビソプロロールファル酸塩錠 2.5mg,198,30,2025/10/09,True,True,True,True,True,2025-10-09
information_2_4.jpg,1-097,003256,フェブキソスタット錠 10mg「トーワ」,93,0,2025/10/02,True,True,True,True,True,2025-10-02
information_2_4.jpg,1-098,003257,フェブキソスタット錠 20mg「トーワ」,10,0,2025/10/29,True,True,True,True,True,2025-10-29
information_2_4.jpg,1-099,001605,シアBM錠,461,0,2025/10/28,True,True,True,True,True,2025-10-28
information_2_4.jpg,1-100,027747,メサルタンOD錠 20mg「トーワ」,297,30,2025/10/29,True,True,True,True,True,2025-10-29
information_2_4.jpg,1-101,002275,ミフェン配合錠,179,30,2025/10/02,True,True,True,True,True,2025-10-02
information_2_4.jpg,1-103,000598,ダ,3,,2024/11/11,True,True,True,True,True,2024-11-11
information_2_4.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_3_1.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_3_1.jpg,1-197,001783,レキソタン錠 2mg,28,0,2024/06/19,True,True,True,True,True,2024-06-19
information_3_1.jpg,1-199,001812,レボトミン錠 5mg,2,0,2025/10/29,True,True,True,True,True,2025-10-29
information_3_1.jpg,1-200,001855,ワーファリン錠 1mg,167,20,2025/09/02,True,True,True,True,True,2025-09-02
information_3_1.jpg,1-201,001681,ユベラNカプセル 100mg,127,0,2025/10/02,True,True,True,True,True,2025-10-02
information_3_1.jpg,1-202,001227,ビスホスフィネート配合錠,28,0,2025/10/28,True,True,True,True,True,2025-10-28
information_3_1.jpg,1-203,002187,ランソプラゾールOD錠15mg「トーワ»,298,200,2025/10/29,True,True,True,True,True,2025-10-29
information_3_1.jpg,1-215,003286,ラメトリオン錠 8mg「武田テバ»,46,0,2025/10/09,True,True,True,True,True,2025-10-09
information_3_1.jpg,1-217,003096,エレスト錠,84,20,2025/10/02,True,True,True,True,True,2025-10-02
information_3_1.jpg,1-218,002438,アジクロビル錠 200mg「トーワ»,15,0,2025/10/02,True,True,True,True,True,2025-10-02
information_3_1.jpg,1-219,003027,エキメラ錠 10mg「YD»,26,20,2025/10/31,True,True,True,True,True,2025-10-31
information_3_1.jpg,1-220,002917,リオホリン徐放錠 100mg「サワイ»,127,20,2025/09/02,True,True,True,True,True,2025-09-02
information_3_1.jpg,1-221,003282,エレスト錠,200,0,2025/10/02,True,True,True,True,True,2025-10-02
information_3_1.jpg,1-222,001716,リトナビル錠 250mg,56,20,2025/10/29,True,True,True,True,True,2025-10-29
information_3_1.jpg,1-223,000982,テナリル錠 20mg,116,0,2025/10/02,True,True,True,True,True,2025-10-02
information_3_1.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_3_2.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_3_2.jpg,1-224,002842,(株)フォシーガ錠5mg,274,20,2025/10/09,True,True,True,True,True,2025-10-09
information_3_2.jpg,1-225,002406,(株)ジャディアンス錠10mg,118,20,2025/10/02,True,True,True,True,True,2025-10-02
information_3_2.jpg,1-227,002774,フロセミド錠20mg「NP」,26,20,2025/10/28,True,True,True,True,True,2025-10-28
information_3_2.jpg,1-228,003599,ドパコール配合錠L,50,0,2025/10/31,True,True,True,True,True,2025-10-31
information_3_2.jpg,1-229,003288,フルコナゾールカプセル50mg「F」,2,0,2025/08/28,True,True,True,True,True,2025-08-28
information_3_2.jpg,1-230,003622,ロスバスタチン錠2.5mg「トーワ」,238,0,2025/10/29,True,True,True,True,True,2025-10-29
information_3_2.jpg,1-231,003085,ピタバスタチンCa・OD錠1mg「トーワ」,120,150,2025/10/30,True,True,True,True,True,2025-10-30
information_3_2.jpg,1-233,002188,ランソプラゾールOD錠30mg「トーワ」,6,20,2025/09/02,True,True,True,True,True,2025-09-02
information_3_2.jpg,1-234,003201,レチナール錠500mg「日医工」,22,20,2025/10/15,True,True,True,True,True,2025-10-15
information_3_2.jpg,1-235,002282,シロスタゾールOD錠100mg「トーワ」,86,20,2025/09/02,True,True,True,True,True,2025-09-02
information_3_2.jpg,1-236,002291,ドパコール配合錠L,100,612,2025/10/29,True,True,True,True,True,2025-10-29
information_3_2.jpg,1-237,002644,レボセチリジンOD錠8mg「サワイ」,72,,不明,True,True,True,True,True,
information_3_2.jpg,1-000,000000,None,,,None,True,True,True,True,True,
