ファイル名,薬品コード,剤,薬品名称,使用量,薬品コード_OK,使用量_OK
Usage_2_3.jpg,003207,カプセル,エルデカルシトールカプセル0.5μg「サワイ」,355,True,True
Usage_2_3.jpg,000490,錠剤,カロナール錠500mg,1087,True,True
Usage_2_3.jpg,002458,錠剤,トラゾドン塩酸塩錠 50mg「アメル」,274,True,True
Usage_2_4.jpg,002258,錠剤,ニフェジピンCR錠40mg「トーワ」,460,True,True
Usage_2_4.jpg,002440,錠剤,ベラプロストNa錠20μg「NIG」,80,True,True
Usage_2_4.jpg,000326,錠剤,エビリファイ錠12mg,40,True,True
Usage_2_4.jpg,000920,錠剤,チラーヂンS錠50μg,363,True,True
Usage_2_4.jpg,002432,錠剤,クエチアピン錠100mg「アメル」,519,True,True
Usage_2_4.jpg,003056,錠剤,ハロペリドール錠3mg「アメル」,0,True,True
Usage_2_4.jpg,003029,錠剤,セレコキシブ錠100mg「ニプロ」,224,True,True
Usage_2_4.jpg,000669,錠剤,ジゴシン錠0.125mg,89,True,True
Usage_2_4.jpg,000597,錠剤,コントミン糖衣錠100mg,107,True,True
Usage_2_4.jpg,002381,錠剤,ベニジピン塩酸塩錠4mg「サワイ」,405,True,True
Usage_2_4.jpg,002256,錠剤,ニフェジピンCR錠20mg「トーワ」,352,True,True
Usage_3_1.jpg,001071,錠剤,ニコラジル錠 5mg「トーワ」,593,True,True
Usage_3_1.jpg,000985,錠剤,デパケンR錠 200mg,860,True,True
Usage_3_1.jpg,002785,カプセル,トラネキサム酸カプセル250mg 「トーワ」,528,True,True
Usage_3_1.jpg,003102,錠剤,プレガバリンOD錠 25mg「サワイ」,266,True,True
Usage_3_1.jpg,003103,錠剤,プレガバリンOD錠 75mg「サワイ」,1055,True,True
Usage_3_1.jpg,002425,カプセル,プランルカストカプセル 112.5mg「サワイ」,0,True,True
Usage_3_1.jpg,002392,錠剤,イミダプリル塩酸塩錠5mg 「トーワ」,44,True,True
Usage_3_1.jpg,002869,錠剤,ベオーバ錠 50mg,401,True,True
Usage_3_1.jpg,003189,錠剤,テルミサルタン錠 40mg「トーワ」,653,True,True
Usage_3_1.jpg,002383,錠剤,ニセルゴリン錠 5mg「トーワ」,0,True,True
Usage_3_2.jpg,000489,錠剤,カロナール錠 200mg,962,True,True
Usage_3_2.jpg,000482,錠剤,カルボシステイン錠250mg,2169,True,True
Usage_3_2.jpg,000478,錠剤,カルバマゼピン錠 200mg「アメル」,0,True,True
Usage_3_2.jpg,002522,錠剤,モサプリドクエン酸塩錠5mg「日医工」,857,True,True
Usage_3_3.jpg,000312,錠剤,エチゾラム錠1mg,49,True,True
Usage_3_3.jpg,002374,錠剤,ウルソデオキシコール酸錠 100mg「トーワ,572,True,True
Usage_3_3.jpg,000170,錠剤,アロプリノール錠 100mg「ニプロ」,108,True,True
Usage_3_3.jpg,000132,錠剤,アルダクトンA錠 25mg,801,True,True
Usage_3_3.jpg,000073,錠剤,アドナ錠 30mg,42,True,True
Usage_3_3.jpg,000047,錠剤,アスパラ-CA錠 200mg,28,True,True
Usage_3_3.jpg,000042,錠剤,アストミン錠 10mg,147,True,True
Usage_3_3.jpg,000016,錠剤,アキネトン錠 1mg,219,True,True
Usage_3_3.jpg,002252,錠剤,一硝酸イソソルビド錠20mg「サワイ,19,True,True
Usage_3_3.jpg,000004,錠剤,アーテン錠 2mg,310,True,True
Usage_3_3.jpg,002578,錠剤,カルベジロール錠 10mg「サワイ」,1163,True,True
Usage_3_3.jpg,000599,錠剤,コントミン糖衣錠 25mg,29,True,True
Usage_3_3.jpg,000598,錠剤,コントミン糖衣錠 12.5mg,0,True,True
Usage_3_3.jpg,002275,錠剤,ダイフェン配合錠,694,True,True
Usage_3_3.jpg,002747,錠剤,オルメサルタンOD錠 20mg「トーワ」,543,True,True
Usage_3_4.jpg,001605,錠剤,ミヤBM錠,2141,True,True
Usage_3_4.jpg,003257,錠剤,フェブキソスタット錠20mg「トーワ」,394,True,True
Usage_3_4.jpg,003256,錠剤,フェブキソスタット錠10mg「トーワ」,481,True,True
Usage_3_4.jpg,002512,錠剤,ビソプロロールフマル酸塩錠2.5mg,877,True,True
Usage_3_4.jpg,002510,錠剤,ビソプロロールフマル酸塩錠0.625mg,488,True,True
Usage_3_4.jpg,002730,錠剤,リクシアナOD錠30mg,536,True,True
Usage_3_4.jpg,002171,錠剤,タケキャブ錠20mg,204,True,True
Usage_3_4.jpg,003084,錠剤,タムスロシン塩酸塩OD錠0.2mg「トーワ」,230,True,True
Usage_3_4.jpg,002688,錠剤,クロピドグレル錠25mg「トーワ」,46,True,True
Usage_3_4.jpg,000519,錠剤,(糖)グラクティブ錠50mg,501,True,True
Usage_3_4.jpg,002279,錠剤,クエン酸第一鉄Na錠50mg「サワイ」,812,True,True
Usage_3_4.jpg,000342,錠剤,エリキュース錠2.5mg,300,True,True
Usage_3_4.jpg,000332,錠剤,エフィエント錠3.75mg,500,True,True
Usage_3_4.jpg,002702,錠剤,シルニジピン錠10mg「サワイ」,226,True,True
Usage_3_4.jpg,002689,錠剤,クロピドグレル錠75mg「トーワ」,276,True,True
Usage_3_5.jpg,001310,錠剤,フォリアミン錠 5mg,365,True,True
Usage_3_5.jpg,000336,カプセル,エブランチルカプセル 15mg,1074,True,True
Usage_3_5.jpg,002423,錠剤,エピナスチン塩酸塩錠 20mg「トーワ」,124,True,True
Usage_3_5.jpg,002389,錠剤,アゾセミド錠 30mg「JG」,1096,True,True
Usage_3_5.jpg,002379,錠剤,ドキサゾシン錠 1mg「テバ」,141,True,True
Usage_3_5.jpg,003383,錠剤,アジルサルタン錠 20mg「ニプロ」,528,True,True
Usage_3_5.jpg,000124,錠剤,アリナミンF糖衣錠 25mg,630,True,True
Usage_3_5.jpg,002624,錠剤,オランザピンOD錠 5mg「トーワ」,333,True,True
Usage_3_5.jpg,002626,錠剤,オランザピンOD錠 10mg「トーワ」,198,True,True
Usage_3_5.jpg,002913,錠剤,シロドシンOD錠 4mg「ケミファ」,780,True,True
Usage_3_5.jpg,002467,錠剤,リスペリドンOD錠 2mg「トーワ」,198,True,True
Usage_3_5.jpg,003346,錠剤,炭酸リチウム錠 200mg「大正」,1128,True,True
Usage_3_5.jpg,003035,錠剤,ガランタミンOD錠 4mg「アメル」,357,True,True
